Player,Cl,Ht,Pos,G,BLKS,BKPG,AST,FGM,3FG,FT,PTS,PPG,FTA,FT%,ORebs,DRebs,REB,ST,3PG,STPG,3FGA,RPG,MP,FGA,Trpl Dbl,FG%,3FG%,MPG,APG,Dbl Dbl,TO,Ratio
"Jamarion Sharp, Western Ky. (C-USA)",Jr.,7-5,C,32.0,148.0,4.62,,,,,,,,,69.0,173.0,242.0,,,,,5.41,,,1.0,,,,,4.0,,
"Walker Kessler, Auburn (SEC)",So.,7-1,F,34.0,155.0,4.56,,,,,,,,,89.0,185.0,274.0,,,,,5.44,,,2.0,,,,,12.0,,
"Johni Broome, Morehead St. (OVC)",Fr.,6-10,F,34.0,131.0,3.85,,244.0,0.0,84.0,572.0,16.8,,,112.0,246.0,358.0,,,,,7.24,,440.0,,55.5,,,,23.0,,
"Chet Holmgren, Gonzaga (WCC)",Fr.,7-0,C,32.0,117.0,3.66,,170.0,41.0,71.0,452.0,14.1,,,57.0,260.0,317.0,,,,,8.12,,,,60.7,,,,13.0,,
"Ike Obiagu, Seton Hall (Big East)",Sr.,7-2,C,29.0,93.0,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drew Pember, UNC Asheville (Big South)",Jr.,6-10,F,31.0,93.0,3.0,,157.0,36.0,138.0,488.0,15.7,160.0,86.2,56.0,149.0,205.0,,,,,4.81,,,,49.5,,,,4.0,,
"Hall Elisias, Bryant (NEC)",Sr.,6-7,F,25.0,75.0,3.0,,,,,,,83.0,77.1,,,,,,,,,,,,,,,,,,
"Osun Osunniyi, St. Bonaventure (Atlantic 10)",Sr.,6-10,C,32.0,94.0,2.94,,,,,,,,,87.0,154.0,241.0,,,,,4.81,,,,,,,,6.0,,
"Jayveous McKinnis, Jackson St. (SWAC)",Sr.,6-7,F,27.0,79.0,2.93,,,,,,,,,89.0,186.0,275.0,,,,,6.89,,,,56.6,,,,15.0,,
"Kevin Samuel, FGCU (ASUN)",Sr.,6-11,C,33.0,96.0,2.91,,,,,,,,,103.0,216.0,319.0,,,,,6.55,,,,64.4,,,,15.0,,
"KC Ndefo, Saint Peter's (MAAC)",Sr.,6-6,F,34.0,96.0,2.82,,,,,,,,,46.0,162.0,208.0,43.0,,,,4.76,,,,,,,,4.0,,
"Mark Williams, Duke (ACC)",So.,7-0,C,39.0,110.0,2.82,,,,,,,,,102.0,188.0,290.0,,,,,4.82,,,,,,,,10.0,,
"Clifton Moore, La Salle (Atlantic 10)",Sr.,6-10,F,30.0,83.0,2.77,,,,,,,112.0,72.3,,,,,,,,,,,,,,,,5.0,,
"Christian Koloko, Arizona (Pac-12)",Jr.,7-1,C,37.0,102.0,2.76,,,,,,,136.0,73.5,95.0,175.0,270.0,,,,,4.73,,,,,,,,10.0,,
"Dajour Dickens, Hampton (Big South)",Sr.,7-0,F,26.0,69.0,2.65,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Obinna Anochili-Killen, Marshall (C-USA)",So.,6-8,F,33.0,87.0,2.64,,,,,,,,,61.0,156.0,217.0,,,,,4.73,,,,,,,,4.0,,
"Ryan Kalkbrenner, Creighton (Big East)",So.,7-1,C,34.0,89.0,2.62,,,,,,,129.0,73.6,134.0,127.0,261.0,,,,,,,,,64.6,,,,6.0,,
"E.J. Liddell, Ohio St. (Big Ten)",Jr.,6-6,F,32.0,83.0,2.59,,203.0,46.0,169.0,621.0,19.4,221.0,76.5,72.0,182.0,254.0,,,,,5.69,1060:58,414.0,,49.0,,33:09,,9.0,,
"Terrell Brown, San Diego (WCC)",Sr.,6-10,C,25.0,64.0,2.56,,,,,,,,,,,,,,,,4.64,,,,,,,,5.0,,
"Kaodirichi Akobundu-Ehiogu, UT Arlington (Sun Belt)",So.,6-9,F,29.0,74.0,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kur Kuath, Marquette (Big East)",Sr.,6-10,F,32.0,81.0,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jalyn Hinton, Southeastern La. (Southland)",Jr.,6-6,F,33.0,81.0,2.45,,167.0,0.0,123.0,457.0,13.8,161.0,76.4,78.0,187.0,265.0,,,,,5.67,1058:16,,,64.0,,,,8.0,,
"Austin Johnson, UC Irvine (Big West)",Jr.,6-9,F,25.0,61.0,2.44,,,,,,,,,,,,,,,,4.36,,,,,,,,,,
"Stephen Clark, The Citadel (SoCon)",Jr.,6-9,F,31.0,75.0,2.42,112.0,,,,,,,,41.0,147.0,188.0,,,,,4.74,,,,,,,3.6,3.0,72.0,1.56
"Makhel Mitchell, Rhode Island (Atlantic 10)",So.,6-10,F,31.0,74.0,2.39,,,,,,,,,,,,,,,,4.48,,,,,,,,,,
"Max Brooks, UMass Lowell (America East)",So.,6-7,F,29.0,68.0,2.34,,,,,,,,,,,,,,,,4.38,,,,,,,,5.0,,
"DaRon Holmes II, Dayton (Atlantic 10)",Fr.,6-10,F,35.0,81.0,2.31,,,,,,,,,53.0,159.0,212.0,,,,,4.54,1073:10,,,64.9,,,,4.0,,
"Trayce Jackson-Davis, Indiana (Big Ten)",Jr.,6-9,F,35.0,81.0,2.31,,246.0,0.0,147.0,639.0,18.3,,,78.0,206.0,284.0,,,,,5.89,1125:03,418.0,,58.9,,,,10.0,,
"Brison Gresham, Texas Southern (SWAC)",Sr.,6-9,F,31.0,71.0,2.29,,,,,,,,,81.0,133.0,214.0,,,,,,,,,,,,,4.0,,
"Nathan Mensah, San Diego St. (Mountain West)",Sr.,6-10,F,32.0,71.0,2.22,,,,,,,,,76.0,145.0,221.0,,,,,4.53,,,,,,,,,,
"Isaiah Whaley, UConn (Big East)",Sr.,6-9,F,32.0,71.0,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colin Castleton, Florida (SEC)",Sr.,6-11,F,28.0,62.0,2.21,,172.0,0.0,109.0,453.0,16.2,155.0,70.3,87.0,166.0,253.0,,,,,5.93,,,,54.6,,,,10.0,,
"Marcus Bingham Jr., Michigan St. (Big Ten)",Sr.,6-11,F,35.0,77.0,2.2,,,,,,,,,59.0,160.0,219.0,,,,,4.57,,,,,,,,6.0,,
"Yauhen Massalski, San Francisco (WCC)",Sr.,6-9,F,32.0,70.0,2.19,,,,,,,,,109.0,192.0,301.0,,,,,6.0,,,,59.6,,,,13.0,,
"Jaylan Gainey, Brown (Ivy League)",Sr.,6-9,F,29.0,63.0,2.17,,,,,,,,,65.0,135.0,200.0,,,,,4.66,,,,,,,,5.0,,
"Zach Austin, High Point (Big South)",So.,6-4,F,32.0,69.0,2.16,,165.0,67.0,63.0,460.0,14.4,,,64.0,193.0,257.0,43.0,2.09,1.34,208.0,6.03,1106:59,399.0,,41.4,,34:36,,8.0,,
"Jalen Duren, Memphis (AAC)",Fr.,6-11,C,29.0,61.0,2.1,,,,,,,,,86.0,150.0,236.0,,,,,5.17,,,,,,,,9.0,,
"Mouhamadou Gueye, Pittsburgh (ACC)",Sr.,6-9,F,32.0,67.0,2.09,,,,,,,,,55.0,145.0,200.0,,,,,4.53,,,,,,,,4.0,,
"Tre Williams, Duquesne (Atlantic 10)",So.,6-7,C,26.0,54.0,2.08,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Christopher Sodom, Delaware St. (MEAC)",Sr.,7-3,C,28.0,58.0,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amari Williams, Drexel (CAA)",So.,6-10,F,28.0,57.0,2.04,,,,,,,,,63.0,141.0,204.0,,,,,5.04,,,,,,,,6.0,,
"Theo Akwuba, Louisiana (Sun Belt)",Jr.,6-11,F,25.0,50.0,2.0,,,,,,,,,73.0,125.0,198.0,,,,,5.0,,,,,,,,5.0,,
"Ryghe Lyons, Nicholls (Southland)",Sr.,6-10,C,33.0,65.0,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jake Stephens, VMI (SoCon)",Sr.,6-8,C,30.0,59.0,1.97,98.0,199.0,74.0,115.0,587.0,19.6,143.0,80.4,51.0,220.0,271.0,,2.47,,151.0,7.33,,361.0,,55.1,,33:10,3.3,11.0,74.0,1.32
"Norchad Omier, Arkansas St. (Sun Belt)",Fr.,6-7,F,29.0,57.0,1.97,,203.0,1.0,113.0,520.0,17.9,155.0,72.9,116.0,237.0,353.0,46.0,,1.59,,8.17,,,,63.2,,,,20.0,,
"Keegan Murray, Iowa (Big Ten)",So.,6-8,F,35.0,68.0,1.94,,307.0,66.0,142.0,822.0,23.5,190.0,74.7,100.0,203.0,303.0,45.0,1.89,1.29,166.0,5.8,1116:56,554.0,,55.4,,,,10.0,,
"Trevon Brazile, Missouri (SEC)",Fr.,6-9,F,25.0,48.0,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kadin Shedrick, Virginia (ACC)",So.,6-11,F,35.0,67.0,1.91,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Adama Sanogo, UConn (Big East)",So.,6-9,F,29.0,55.0,1.9,,179.0,0.0,70.0,428.0,14.8,,,105.0,151.0,256.0,,,,,5.21,,355.0,,50.4,,,,9.0,,
"Nelly Joseph, Iona (MAAC)",So.,6-9,F,33.0,62.0,1.88,,,,,,,,,108.0,164.0,272.0,,,,,4.97,,,,,,,,11.0,,
"Moussa Cisse, Oklahoma St. (Big 12)",So.,6-10,C,29.0,54.0,1.86,,,,,,,,,77.0,112.0,189.0,,,,,,,,,,,,,5.0,,
"Efe Abogidi, Washington St. (Pac-12)",So.,6-10,F,37.0,66.0,1.78,,,,,,,,,86.0,128.0,214.0,,,,,,,,,,,,,3.0,,
"Johnny McCants, New Mexico St. (WAC)",Sr.,6-7,F,31.0,55.0,1.77,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Jubrile Belo, Montana St. (Big Sky)",Sr.,6-9,F,34.0,60.0,1.76,,,,,,,204.0,71.6,66.0,162.0,228.0,,,,,4.76,,,,,,,,5.0,,
"Ebenezer Dowuona, NC State (ACC)",So.,6-11,F,31.0,54.0,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh Oduro, George Mason (Atlantic 10)",Jr.,6-9,F,27.0,47.0,1.74,,182.0,14.0,101.0,479.0,17.7,144.0,70.1,59.0,143.0,202.0,,,,,5.3,,,,52.9,,,,6.0,,
"Nick Ongenda, DePaul (Big East)",Jr.,6-11,C,30.0,52.0,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joel Soriano, St. John's (NY) (Big East)",Jr.,6-11,F,30.0,52.0,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jalen Thomas, Georgia St. (Sun Belt)",Jr.,6-10,C,28.0,48.0,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jalen Slawson, Furman (SoCon)",Sr.,6-7,F,34.0,58.0,1.71,125.0,176.0,41.0,97.0,490.0,14.4,122.0,79.5,46.0,205.0,251.0,58.0,,1.71,,6.03,1051:47,364.0,1.0,48.4,,,3.7,6.0,86.0,1.45
"Nick Jourdain, Temple (AAC)",Fr.,6-8,F,29.0,49.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clevon Brown, FIU (C-USA)",Sr.,6-8,F,31.0,52.0,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armando Bacot, North Carolina (ACC)",Jr.,6-10,F,39.0,65.0,1.67,,244.0,1.0,146.0,635.0,16.3,,,163.0,348.0,511.0,,,,,8.92,1236:34,429.0,,56.9,,,,31.0,,
"Grant Basile, Wright St. (Horizon)",Jr.,6-9,F,36.0,59.0,1.64,,247.0,39.0,131.0,664.0,18.4,167.0,78.4,93.0,214.0,307.0,,,,,5.94,1176:14,496.0,,49.8,,32:40,,11.0,,
"Yor Anei, DePaul (Big East)",Sr.,6-10,F,30.0,49.0,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuba Ohams, Fordham (Atlantic 10)",Sr.,6-9,F,30.0,49.0,1.63,,169.0,3.0,103.0,444.0,14.8,,,85.0,262.0,347.0,,,,,8.73,,,,49.6,,,,21.0,,
"Jadyn Parker, North Florida (ASUN)",So.,6-10,F,30.0,49.0,1.63,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Ricky Lindo Jr., George Washington (Atlantic 10)",Sr.,6-8,F,27.0,44.0,1.63,,,,,,,,,43.0,168.0,211.0,41.0,,1.52,,6.22,,,,,,,,6.0,,
"Nick Muszynski, Belmont (OVC)",Sr.,6-11,C,32.0,52.0,1.62,,198.0,7.0,102.0,505.0,15.8,133.0,76.7,,,,,,,,,,354.0,,55.9,,,,,,
"Branden Carlson, Utah (Pac-12)",Jr.,7-0,C,24.0,39.0,1.62,,,,,,,,,,,,,,,,,,,,51.0,,,,3.0,,
"Oscar Tshiebwe, Kentucky (SEC)",Jr.,6-9,F,34.0,55.0,1.62,,238.0,0.0,114.0,590.0,17.4,,,179.0,336.0,515.0,60.0,,1.76,,9.88,1086:55,393.0,,60.6,,,,28.0,,
"Kareem Reid, Gardner-Webb (Big South)",Jr.,6-9,F,31.0,50.0,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nana Opoku, Mount St. Mary's (NEC)",Sr.,6-9,F,30.0,48.0,1.6,,,,,,,,,76.0,114.0,190.0,,,,,,,,,,,,,5.0,,
"Teafale Lenard, Middle Tenn. (C-USA)",Fr.,6-7,G,37.0,58.0,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles Thompson, Towson (CAA)",Jr.,6-7,F,34.0,53.0,1.56,,,,,,,,,91.0,138.0,229.0,,,,,,,,,,,,,5.0,,
"Lucas Moerman, Air Force (Mountain West)",Fr.,6-10,F,27.0,42.0,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tyrn Flowers, LIU (NEC)",Sr.,6-9,F,29.0,45.0,1.55,94.0,202.0,87.0,66.0,557.0,19.2,,,63.0,163.0,226.0,42.0,3.0,1.45,223.0,5.62,,445.0,,45.4,39.0,34:51,3.2,6.0,71.0,1.32
"Charles Bediako, Alabama (SEC)",Fr.,7-0,C,33.0,51.0,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keegan Records, Colgate (Patriot)",Jr.,6-10,F,35.0,54.0,1.54,,,,,,,,,83.0,133.0,216.0,,,,,,,,,,,,,3.0,,
"Hunter Dickinson, Michigan (Big Ten)",So.,7-1,C,32.0,49.0,1.53,,240.0,21.0,93.0,594.0,18.6,116.0,80.2,75.0,199.0,274.0,,,,,6.22,1031:24,426.0,,56.3,,32:14,,11.0,,
"Trey Jemison, UAB (C-USA)",Jr.,7-0,C,34.0,52.0,1.53,,,,,,,,,93.0,159.0,252.0,,,,,4.68,,,,,,,,4.0,,
"Jonathan Komagum, Sacramento St. (Big Sky)",Jr.,6-9,F,27.0,41.0,1.52,,,,,,,,,,,,,,,,4.89,,,,,,,,,,
"Abdul Ado, Cincinnati (AAC)",Sr.,6-11,F,32.0,48.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hason Ward, VCU (Atlantic 10)",Jr.,6-9,C,29.0,43.0,1.48,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Cheikh Mbacke Diong, UCF (AAC)",Sr.,6-11,F,30.0,44.0,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,
"Markedric Bell, Prairie View (SWAC)",Sr.,6-8,F,26.0,38.0,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ludovic Dufeal, Gardner-Webb (Big South)",Sr.,6-8,F,26.0,38.0,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michael Weathers, SMU (AAC)",Sr.,6-2,G,31.0,45.0,1.45,,,,,,,114.0,79.8,,,,49.0,,1.58,,4.77,,,,,,,,,,
"Jemal Davis, South Carolina St. (MEAC)",So.,6-9,F,31.0,44.0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joey St. Pierre, Milwaukee (Horizon)",Jr.,6-10,C,31.0,44.0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brandon Carroll, William & Mary (CAA)",Sr.,6-7,F,29.0,41.0,1.41,,,,,,,,,,,,42.0,,1.45,,,,,,,,,,3.0,,
"Fabian White Jr, Houston (AAC)",Sr.,6-8,F,38.0,53.0,1.39,,,,,,,,,86.0,130.0,216.0,,,,,,1057:37,379.0,,,,,,4.0,,
"Jack Nunge, Xavier (Big East)",Jr.,7-0,F,36.0,50.0,1.39,,,,,,,163.0,70.6,87.0,181.0,268.0,,,,,5.03,,,,,,,,6.0,,
"Makhi Mitchell, Rhode Island (Atlantic 10)",So.,6-10,F,31.0,43.0,1.39,,,,,,,,,50.0,175.0,225.0,,,,,5.65,,,,,,,,7.0,,
"Jay Allen-Tovar, New Mexico (Mountain West)",Jr.,6-9,F,32.0,44.0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas Walton, Wake Forest (ACC)",Sr.,7-0,C,35.0,48.0,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neal Quinn, Lafayette (Patriot)",Jr.,7-0,F,30.0,41.0,1.37,119.0,174.0,2.0,90.0,440.0,14.7,127.0,70.9,74.0,147.0,221.0,,,,,4.9,,,,54.5,,,4.0,7.0,67.0,1.78
"KJ Simon, UT Martin (OVC)",Jr.,6-3,G,30.0,41.0,1.37,,198.0,42.0,70.0,508.0,16.9,,,,,,48.0,,1.6,,,,461.0,,43.0,,,,,,
"James Baker, UNCW (CAA)",Sr.,6-7,G,36.0,49.0,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Faw, NJIT (America East)",Sr.,6-9,F,25.0,34.0,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greg Calixte, Bryant (NEC)",Sr.,6-8,F,31.0,42.0,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,
"Randy Brumant, Howard (MEAC)",Sr.,6-7,F,29.0,39.0,1.34,,,,,,,112.0,73.2,,,,,,,,,,,,,,,,,,
"Javon Franklin, South Alabama (Sun Belt)",Sr.,6-7,F,32.0,43.0,1.34,,,,,,,,,94.0,157.0,251.0,40.0,,,,4.91,,,,,,,,8.0,,
"Sam Waardenburg, Miami (FL) (ACC)",Sr.,6-10,F,35.0,47.0,1.34,,,,,,,,,,,,,,,,,1057:04,,,,,,,,,
"Kendal Coleman, Northwestern St. (Southland)",So.,6-8,C,30.0,40.0,1.33,,203.0,0.0,57.0,463.0,15.4,,,79.0,225.0,304.0,,,,,7.5,,372.0,,54.6,,,,17.0,,
"Josh Roberts, Manhattan (MAAC)",Sr.,6-9,F,30.0,40.0,1.33,,,,,,,,,74.0,122.0,196.0,,,,,,,,,,,,,5.0,,
"Grant Nelson, North Dakota St. (Summit League)",So.,6-11,F,29.0,38.0,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,
"Justyn Hamilton, Kent St. (MAC)",Sr.,6-10,F,33.0,43.0,1.3,,,,,,,,,74.0,141.0,215.0,,,,,,,,,,,,,,,
"JT Shumate, Toledo (MAC)",Jr.,6-7,F,34.0,44.0,1.29,,185.0,67.0,73.0,510.0,15.0,,,72.0,134.0,206.0,,1.97,,139.0,,1079:27,,,55.4,,,,3.0,,
"Deante Johnson, Cleveland St. (Horizon)",Sr.,6-9,F,31.0,40.0,1.29,,,,,,,,,72.0,139.0,211.0,,,,,4.48,,,,,,,,,,
"Michael Graham, Elon (CAA)",So.,6-9,C,32.0,41.0,1.28,,,,,,,,,83.0,136.0,219.0,,,,,,,,,,,,,7.0,,
"Aboubacar Traore, Long Beach St. (Big West)",Fr.,6-5,F,32.0,41.0,1.28,,,,,,,,,94.0,165.0,259.0,,,,,5.16,,,,,,,,7.0,,
"Parker Braun, Santa Clara (WCC)",Jr.,6-10,F,33.0,42.0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fousseyni Traore, BYU (WCC)",Fr.,6-6,F,33.0,42.0,1.27,,,,,,,,,93.0,187.0,280.0,,,,,5.67,,,,,,,,9.0,,
"Kalib Boone, Oklahoma St. (Big 12)",Jr.,6-9,F,26.0,33.0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alonzo Gaffney, Arizona St. (Pac-12)",Jr.,6-9,F,30.0,38.0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,
"PJ Hall, Clemson (ACC)",So.,6-10,F,30.0,38.0,1.27,,179.0,24.0,82.0,464.0,15.5,105.0,78.1,,,,,,,,,,363.0,,49.3,,,,4.0,,
"Michael Diggins, UIC (Horizon)",Sr.,6-8,F,27.0,34.0,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brendan Medley-Bacon, McNeese (Southland)",Jr.,7-1,C,31.0,39.0,1.26,,,,,,,135.0,71.1,77.0,112.0,189.0,,,,,,,,,,,,,,,
"Myles Johnson, UCLA (Pac-12)",Sr.,6-10,C,35.0,44.0,1.26,,,,,,,,,88.0,100.0,188.0,,,,,,,,,,,,,,,
"Fardaws Aimaq, Utah Valley (WAC)",So.,6-11,C,32.0,40.0,1.25,,222.0,20.0,141.0,605.0,18.9,195.0,72.3,96.0,339.0,435.0,,,,,10.59,1098:05,453.0,,49.0,,34:19,,27.0,,
"Nysier Brooks, Ole Miss (SEC)",Sr.,7-0,C,32.0,40.0,1.25,,,,,,,,,87.0,146.0,233.0,,,,,4.56,,,,,,,,3.0,,
"Clifford Omoruyi, Rutgers (Big Ten)",So.,6-11,C,32.0,40.0,1.25,,,,,,,,,69.0,181.0,250.0,,,,,5.66,,,,62.4,,,,6.0,,
"Jackson Stormo, Siena (MAAC)",Sr.,6-9,F,28.0,35.0,1.25,,,,,,,,,63.0,127.0,190.0,,,,,4.54,,,,,,,,3.0,,
"Zach Edey, Purdue (Big Ten)",So.,7-4,C,37.0,46.0,1.24,,210.0,0.0,113.0,533.0,14.4,,,117.0,168.0,285.0,,,,,4.54,,,,64.8,,,,11.0,,
"Dylan Cardwell, Auburn (SEC)",So.,6-11,C,34.0,42.0,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,
"D.J. Jones, Florida A&M (SWAC)",Sr.,6-9,F,30.0,37.0,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeShang Weaver, Oral Roberts (Summit League)",Jr.,6-7,F,31.0,38.0,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aziz Bandaogo, Akron (MAC)",Fr.,7-0,C,33.0,40.0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enrique Freeman, Akron (MAC)",So.,6-7,F,34.0,41.0,1.21,,,,,,,,,111.0,256.0,367.0,,,,,7.53,,,,66.5,,,,18.0,,
"Gaige Prim, Missouri St. (MVC)",Sr.,6-9,F,34.0,41.0,1.21,,204.0,7.0,140.0,555.0,16.3,178.0,78.7,96.0,176.0,272.0,,,,,5.18,,361.0,,56.5,,,,11.0,,
"Franck Kepnang, Oregon (Pac-12)",So.,6-11,C,35.0,42.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Francis Okoro, Saint Louis (Atlantic 10)",Jr.,6-9,F,35.0,42.0,1.2,,,,,,,,,96.0,189.0,285.0,,,,,5.4,,,,,,,,9.0,,
"Orlando Robinson, Fresno St. (Mountain West)",Jr.,7-0,F,36.0,43.0,1.19,103.0,251.0,37.0,161.0,700.0,19.4,225.0,71.6,94.0,207.0,301.0,,,,,5.75,1195:18,519.0,,48.4,,33:12,,12.0,,
"Kris Bankston, Norfolk St. (MEAC)",Sr.,6-8,F,31.0,37.0,1.19,,,,,,,,,74.0,136.0,210.0,,,,,4.39,,,,,,,,3.0,,
"Daeqwon Plowden, Bowling Green (MAC)",Sr.,6-6,F,31.0,37.0,1.19,,164.0,42.0,118.0,488.0,15.7,149.0,79.2,76.0,136.0,212.0,,,,,4.39,,397.0,,41.3,,,,3.0,,
"Oumar Ballo, Arizona (Pac-12)",Fr.,7-0,C,37.0,44.0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seth Pinkney, FIU (C-USA)",So.,7-1,C,32.0,38.0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh Carlton, Houston (AAC)",Sr.,6-10,F,38.0,45.0,1.18,,,,,,,,,124.0,113.0,237.0,,,,,,,,,,,,,4.0,,
"Jordan Jones, Marist (MAAC)",Sr.,6-8,C,30.0,35.0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Butler, Florida St. (ACC)",Fr.,7-1,F,31.0,36.0,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philip Pepple, Jr., Idaho (Big Sky)",Jr.,6-10,F,26.0,30.0,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan Brown, Louisiana (Sun Belt)",So.,6-11,F,27.0,31.0,1.15,,162.0,12.0,78.0,414.0,15.3,,,81.0,151.0,232.0,,,,,5.59,,,,51.6,,,,6.0,,
"Vladislav Goldin, Fla. Atlantic (C-USA)",Fr.,7-1,F,34.0,39.0,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eral Penn, LIU (NEC)",Sr.,6-7,F,29.0,33.0,1.14,,164.0,40.0,127.0,495.0,17.1,179.0,70.9,76.0,138.0,214.0,,,1.34,,4.76,,383.0,,42.8,,,,7.0,,
"Ahmad Rand, Oregon St. (Pac-12)",Jr.,6-8,F,29.0,33.0,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desmond Cambridge Jr., Nevada (Mountain West)",Sr.,6-4,G,30.0,34.0,1.13,,178.0,87.0,42.0,485.0,16.2,,,,,,51.0,2.9,1.7,235.0,,,409.0,,43.5,37.0,32:37,,,,
"Pete Nance, Northwestern (Big Ten)",Sr.,6-10,F,30.0,34.0,1.13,,166.0,42.0,63.0,437.0,14.6,,,32.0,162.0,194.0,,,,,5.4,,,,49.7,,,,5.0,,
"Jordan O'Neal, Alabama St. (SWAC)",So.,6-7,F,30.0,34.0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julian Champagnie, St. John's (NY) (Big East)",Jr.,6-8,F,31.0,35.0,1.13,,221.0,65.0,89.0,596.0,19.2,114.0,78.1,42.0,164.0,206.0,61.0,2.1,1.97,193.0,5.29,1065:49,534.0,,41.4,,34:23,,4.0,,
"Tim Fuller, Utah Valley (WAC)",So.,6-9,F,31.0,35.0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalu Ezikpe, Old Dominion (C-USA)",Jr.,6-7,F,32.0,36.0,1.12,,,,,,,132.0,73.5,68.0,159.0,227.0,,,,,4.97,,,,,,,,3.0,,
"Essam Mostafa, Coastal Carolina (Sun Belt)",So.,6-9,F,33.0,37.0,1.12,,,,,,,,,110.0,201.0,311.0,,,,,6.09,,,,49.9,,,,13.0,,
"Jaden Bediako, Santa Clara (WCC)",Jr.,6-10,C,25.0,28.0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,
"Craig Porter Jr., Wichita St. (AAC)",Jr.,6-2,G,25.0,28.0,1.12,,,,,,,,,,,,,,1.56,,,,,,,,,3.6,,48.0,1.9
"Isaih Moore, Southern Miss. (C-USA)",Jr.,6-10,F,27.0,30.0,1.11,,,,,,,,,55.0,133.0,188.0,,,,,4.93,,,,,,,,7.0,,
"Jaylin Williams, Arkansas (SEC)",So.,6-10,F,37.0,41.0,1.11,95.0,,,,,,140.0,72.9,56.0,308.0,364.0,48.0,,1.3,,8.32,1170:38,,,,,,,16.0,,
"Dorian James, North Florida (ASUN)",Jr.,6-7,F,30.0,33.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tevin Smith, Denver (Summit League)",Fr.,6-4,G,30.0,33.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malevy Leons, Bradley (MVC)",Jr.,6-9,F,31.0,34.0,1.1,,,,,,,,,,,,,,,,4.35,,,,,,,,,,
